asteroid_id,fname,distance_geo,dist_geo_Ur_upper,dist_geo_Ur_lower,dist_geo_U_upper,dist_geo_U_lower,distance_SSB,dist_SSB_U_upper,dist_SSB_U_lower,HEx,HEy,HEz,ELat,Phase_Ang,Escape_Vel,Object_Vel,min_a,min_e,min_i,max_i,MagCor_input,corr_to_V_apparent,H,H_lower,H_upper,chisq,size15,size15_lower,size15_upper,DorR,Tisserands_imin,Tisserands_imax
AH11749,j8iy6a040_2_trailcut,1.07,0.03,0.03,0.03,0.03,2.0197164602118765,0.0291121846749615,0.02908582064241,1.9075449330916E8,-2.166813274067108E8,-8.918349698699571E7,0.8280711103296596,14.076209543024282,29.566682825963856,20.42469084303681,1.9231050850907208,0.0084830462158857,3.6159458813828,3.89448286785716,22.862,23.151368187115853,20.677035957781506,20.770286752163003,20.58591525775997,0.1513863760846363,0.2512737833928588,0.2407116002296275,0.2620422494674672,R,3.9193783295700815,3.918991242934715
AH10375,j8iy6d030_1_trailcut,1.935,0.1899999999999999,0.1600000000000001,0.1899999999999999,0.1600000000000001,2.834805339903628,0.186437088425563,0.156611201090068,2.521980296527308E8,-3.158418303986664E8,-1.2839256781671804E8,1.058855546025839,11.477542555848569,24.956643992310767,17.159838230303222,2.676726383971661,0.0187990004426146,2.067095466977632,2.31430948736017,24.017,24.10915722219881,19.7080927042044,20.01891169856351,19.36639121482532,0.1978387852529208,0.3925869233594811,0.3402295500089147,0.4594900670205104,R,3.3773562343392154,3.3771197013823784
AH10376,j8iy6d030_2_trailcut,1.405,0.1099999999999998,0.0949999999999999,0.1099999999999998,0.0949999999999999,2.3178043912003865,0.106840522281324,0.0920236409752832,2.1866714998149765E8,-2.490990404788195E8,-1.0179392065156156E8,0.940568493690904,14.085433804306993,27.60002111098707,18.43034093740928,2.0833773313645967,0.0515409727231375,3.3719876788560463,7.810544180405163,23.319,23.41115722219881,20.04610157634161,20.286098715503822,19.784563211683423,0.1591508284124021,0.3359959597830002,0.3008393401016019,0.3790021975600708,R,3.759448311884298,3.7499120927382
AH11479,j8iy6d050_2_trailcut,1.59,0.155,0.125,0.155,0.125,2.4972285653083137,0.1512127120527959,0.1215901219312005,2.304570408061076E8,-2.722612740330441E8,-1.1101992118005154E8,0.9878294018058824,13.076761037399017,26.59001962494533,17.79753128416717,2.2530929329059166,0.0557980192215267,4.689797857173146,9.578944753899249,24.209,23.658586424824165,19.899431312386625,20.18561855822083,19.56977950814005,0.1268025693528052,0.359474516289111,0.3150871259492396,0.4184065444237526,R,3.619249458305268,3.6053287067586455
AH10390,j8mqb3020_2_trailcut,3.715,1.0349999999999997,0.665,1.0349999999999997,0.665,3.66373593043902,1.0054945360080998,0.6355332458154375,9.981785579101925E7,-4.423149309791794E8,-3.07885298929814E8,-11.208432161244232,15.516444068587187,21.9525878142049,17.33274530879529,4.825255938395397,0.2899741910712108,157.36568192191044,162.74907213012787,23.361,23.650368187115856,17.129507494390545,17.97149850576575,16.069227802031016,0.0744595578401036,1.287220274641452,0.8734834269787732,2.097533037948079,D,-0.6226530024413841,-0.6816972356485878
AH10400,j8n603020_1_trailcut,1.61,0.04,0.0349999999999999,0.04,0.0349999999999999,2.4670982251399423,0.0385163111919295,0.0336625018623908,3.628142943434432E8,-5.840812873694196E7,-3.4189056590821795E7,-1.2629114821514236,15.779038309289168,26.751897052049927,20.02086755940844,2.7868016057974976,0.1761243978521836,8.350511997777403,12.047478059151404,22.728,23.017368187115856,19.16183004196422,19.239389439321545,19.074900605575618,12.78714334039504,0.5048802265916278,0.48716545253208,0.5255018500974594,D,3.292793920260074,3.27633663797355
AH12430,j8n923010_1_2_trailcut,3.685,0.1350000000000002,0.125,0.1350000000000002,0.125,4.324232496269623,0.1325537475504044,0.1225960563602193,-6.346207738223418E8,9.05125246076058E7,8.682369143345812E7,3.869510255798417,11.092150858419924,20.20660197158493,16.218353397612475,6.023804343425019,0.3063443720066328,18.29682457047768,22.896386339913978,22.797,22.88915722219881,16.18723748888219,16.32462778586332,16.04354429115436,15.138974079246792,1.9865837226393168,1.864785198206276,2.1224893132296923,R,2.8086676933322123,2.750837643909666
AH11759,j8np01010_2_trailcut,3.0050000000000003,0.4199999999999999,0.1500000000000003,0.4199999999999999,0.1500000000000003,2.951806957172721,0.3984124636402346,0.1407665918340042,-3.369815794702301E8,-2.774867195610988E8,-6.664078449294669E7,6.401730306890926,19.69911982966793,24.45703634292337,10.966425664344657,1.845061997666834,0.4592437149394801,9.075724009038328,32.87730491449396,23.499,23.5535269515026,17.823832409410027,18.04112857855415,17.264825412743143,9.7305010372438,0.93494892928837,0.8459187567189689,1.2094538126722123,D,3.865125829839274,3.7089360666256033
AH10404,j8nu04010_4_trailcut,3.455,0.1750000000000002,0.1599999999999997,0.1750000000000002,0.1599999999999997,4.346698920931736,0.1737002598051553,0.1587169622595343,4.402944827445147E8,-4.510030910587106E8,-1.5990940075987878E8,2.881147318869637,7.12634238620072,20.15431422064152,13.16904603169171,3.7788575141127,0.1331330411244175,2.88114738469319,3.2744884661784663,23.853,23.94515722219881,17.538007236352833,17.721744186289314,17.345628228664808,0.1003257114251954,1.0664805102535435,0.9799536463083012,1.1652757931645594,R,3.064112063521364,3.063489454352097
AH10405,j8nu04020_4_trailcut,2.35,0.0649999999999999,0.06,0.0649999999999999,0.06,3.2526805853115417,0.0641149732407257,0.0591512930757889,3.44347918492815E8,-3.236125260890697E8,-1.1607432892236257E8,2.618410610965725,9.55939927383606,23.29845359176312,15.53715394929568,2.9174948603776127,0.0853814181188733,2.618410665383823,3.0261773286891382,23.775,23.86715722219881,18.82147723586682,18.91749170273069,18.719844443124494,1.2712421570961994,0.590553058795119,0.5650098641078658,0.6188501233579023,R,3.274194476164555,3.2736716350288706
